foundid,id,name,party,partyLabel,votes,election,electionLabel,ranking
,Q8004273,William Hunter,Q622441,Liberal Party (UK),4794,Q3397257,1885 general election,1
,,Benjamin Scott Foster McGeagh,Q9626,Conservative Party (UK),894,Q3397257,1885 general election,2
,,James Wallace Thom,Q6016735,Independent Liberal,177,Q3397257,1885 general election,3
,Q8004273,William Hunter,Q622441,Liberal Party (UK),4462,Q7888018,1892 general election,1
,,Bremner Patrick Lee,Q1754707,Liberal Unionist Party,870,Q7888018,1892 general election,2
,Q8004273,William Hunter,Q622441,Liberal Party (UK),4156,Q7888019,1895 general election,1
,Q16029218,John Lincoln Mahon,Q327591,Independent Labour,608,Q7888019,1895 general election,2
,Q5314642,Duncan Pirie,Q622441,Liberal Party (UK),2909,Q98643640,1896 by-election,1
,Q1852204,Tom Mann,Q1507913,Independent Labour Party,2479,Q98643640,1896 by-election,2
,Q5314642,Duncan Pirie,Q622441,Liberal Party (UK),4238,Q918358,1900 general election,1
,,Robert Williams,Q9626,Conservative Party (UK),2251,Q918358,1900 general election,2
,Q5314642,Duncan Pirie,Q622441,Liberal Party (UK),4852,Q3076606,1906 general election,1
,Q5906347,Tom Kennedy,Q1304246,Social Democratic Federation,1935,Q3076606,1906 general election,2
,Q6744908,Maltman Barrie,Q9626,Conservative Party (UK),931,Q3076606,1906 general election,3
,Q5314642,Duncan Pirie,Q622441,Liberal Party (UK),4297,Q3075752,January 1910 general election,1
,,Robert Scott-Brown,Q1754707,Liberal Unionist Party,2314,Q3075752,January 1910 general election,2
,Q5906347,Tom Kennedy,Q1304246,Social Democratic Federation,1344,Q3075752,January 1910 general election,3
,Q5314642,Duncan Pirie,Q622441,Liberal Party (UK),4282,Q3076583,December 1910 general election,1
,,Robert Scott-Brown,Q1754707,Liberal Unionist Party,2546,Q3076583,December 1910 general election,2
,Q5487220,Frank Rose,Q327591,Independent Labour,6128,Q3042701,1918 general election,1
,Q5314642,Duncan Pirie,Q622441,Liberal Party (UK),5918,Q3042701,1918 general election,2
,Q5487220,Frank Rose,Q9630,Labour Party (UK),10958,Q3084303,1922 general election,1
,,William Mackenzie Cameron,Q6974098,"National Liberal Party (UK, 1922)",6615,Q3084303,1922 general election,2
,,James Johnstone,Q622441,Liberal Party (UK),2113,Q3084303,1922 general election,3
,Q5487220,Frank Rose,Q9630,Labour Party (UK),9138,Q3084294,1923 general election,1
,,William Forbes Lumsden,Q7886824,Unionist Party (Scotland),4820,Q3084294,1923 general election,2
,,William Mackenzie Cameron,Q622441,Liberal Party (UK),4099,Q3084294,1923 general election,3
,Q5487220,Frank Rose,Q9630,Labour Party (UK),13249,Q2632991,1924 general election,1
,Q42610341,Laura Sandeman,Q7886824,Unionist Party (Scotland),8545,Q2632991,1924 general election,2
,Q677902,William Wedgwood Benn,Q9630,Labour Party (UK),10646,Q16824459,1928 by-election,1
,Q42610341,Laura Sandeman,Q7886824,Unionist Party (Scotland),4696,Q16824459,1928 by-election,2
,Q20810878,Aitken Ferguson,Q592068,Communist Party of Great Britain,2618,Q16824459,1928 by-election,3
,Q21070212,James Rankin Rutherford,Q622441,Liberal Party (UK),2337,Q16824459,1928 by-election,4
,Q677902,William Wedgwood Benn,Q9630,Labour Party (UK),17826,Q517639,1929 general election,1
,Q7308602,Reginald Berkeley,Q7437849,Scottish Liberal Party,9799,Q517639,1929 general election,2
